# First ever run

# tokens used is ctx_len*batch_size*grad_accum*steps = 1024*6*4*570 = 14008320, 14M tokens

found vocab_size = 100277 (inside data/tokenized_data/meta.pkl)
num decayed parameter tensors: 278, with 119,443,712 parameters
num non-decayed parameter tensors: 206, with 203,025 parameters
using fused AdamW: True
starting run 8mqSZf from scratch
compiling the model...
compiled
119.646797 M params
W0331 21:26:50.368000 4777 torch/_inductor/utils.py:1137] [0/0] Not enough SMs to use max_autotune_gemm mode
step: 0, train loss: 11.6878, val loss: 11.6905, elapsed time: 4.2598 min, mfu: 0.00109919, total_flops: 1.8261e+13
step: 280, train loss: 3.5822, val loss: 3.6158, elapsed time: 37.7452 min, mfu: 0.00412023, total_flops: 6.0652e+14
step: 290, train loss: 3.5738, val loss: 3.5825, elapsed time: 38.9017 min, mfu: 0.00404859, total_flops: 6.1424e+14
step: 300, train loss: 3.5570, val loss: 3.5395, elapsed time: 40.0013 min, mfu: 0.00425832, total_flops: 6.6432e+14
step: 310, train loss: 3.5456, val loss: 3.5815, elapsed time: 41.3260 min, mfu: 0.00353467, total_flops: 5.6969e+14
step: 320, train loss: 3.5627, val loss: 3.5953, elapsed time: 42.3248 min, mfu: 0.00468803, total_flops: 7.7384e+14
step: 330, train loss: 3.5262, val loss: 3.5836, elapsed time: 43.4853 min, mfu: 0.00403454, total_flops: 6.8423e+14
step: 340, train loss: 3.5075, val loss: 3.5125, elapsed time: 44.7525 min, mfu: 0.00369516, total_flops: 6.4493e+14
step: 350, train loss: 3.5361, val loss: 3.5139, elapsed time: 45.8161 min, mfu: 0.00440234, total_flops: 7.8662e+14
step: 360, train loss: 3.4930, val loss: 3.5195, elapsed time: 46.8953 min, mfu: 0.00433842, total_flops: 7.9346e+14
step: 370, train loss: 3.4761, val loss: 3.4916, elapsed time: 47.9731 min, mfu: 0.00434452, total_flops: 8.1284e+14
step: 380, train loss: 3.4725, val loss: 3.4822, elapsed time: 49.1806 min, mfu: 0.00387787, total_flops: 7.4379e+14
step: 390, train loss: 3.5043, val loss: 3.4283, elapsed time: 50.2219 min, mfu: 0.00449652, total_flops: 8.8071e+14
step: 400, train loss: 3.4199, val loss: 3.4215, elapsed time: 51.3271 min, mfu: 0.00423647, total_flops: 8.4804e+14
step: 410, train loss: 3.4194, val loss: 3.4291, elapsed time: 52.4343 min, mfu: 0.00422906, total_flops: 8.6482e+14
step: 420, train loss: 3.4330, val loss: 3.3939, elapsed time: 53.5508 min, mfu: 0.00419388, total_flops: 8.7588e+14
step: 430, train loss: 3.3952, val loss: 3.4142, elapsed time: 54.7765 min, mfu: 0.00382009, total_flops: 8.1608e+14
step: 440, train loss: 3.3877, val loss: 3.4125, elapsed time: 55.7788 min, mfu: 0.00467162, total_flops: 1.0163e+15
step: 450, train loss: 3.3836, val loss: 3.3682, elapsed time: 56.8280 min, mfu: 0.00446271, total_flops: 9.8907e+14
step: 460, train loss: 3.3667, val loss: 3.4045, elapsed time: 58.0875 min, mfu: 0.00371753, total_flops: 8.4217e+14
step: 470, train loss: 3.3659, val loss: 3.4039, elapsed time: 59.4221 min, mfu: 0.00350840, total_flops: 8.1306e+14
step: 480, train loss: 3.3528, val loss: 3.3764, elapsed time: 60.7892 min, mfu: 0.00342520, total_flops: 8.1204e+14
step: 490, train loss: 3.3788, val loss: 3.3866, elapsed time: 61.9427 min, mfu: 0.00405923, total_flops: 9.8061e+14
step: 500, train loss: 3.3362, val loss: 3.3539, elapsed time: 62.9484 min, mfu: 0.00465548, total_flops: 1.1429e+15
step: 510, train loss: 3.3687, val loss: 3.3481, elapsed time: 64.0334 min, mfu: 0.00431545, total_flops: 1.0777e+15
step: 520, train loss: 3.3415, val loss: 3.3037, elapsed time: 65.2529 min, mfu: 0.00383981, total_flops: 9.7718e+14
step: 530, train loss: 3.3251, val loss: 3.3111, elapsed time: 66.3568 min, mfu: 0.00424145, total_flops: 1.0977e+15
step: 540, train loss: 3.3138, val loss: 3.3068, elapsed time: 67.4962 min, mfu: 0.00410959, total_flops: 1.0818e+15
step: 550, train loss: 3.2846, val loss: 3.3099, elapsed time: 68.4892 min, mfu: 0.00471533, total_flops: 1.2595e+15
step: 560, train loss: 3.2775, val loss: 3.2866, elapsed time: 69.6459 min, mfu: 0.00404811, total_flops: 1.0995e+15
step: 570, train loss: 3.2876, val loss: 3.2631, elapsed time: 70.6161 min, mfu: 0.00482616, total_flops: 1.3291e+15
